title,salary,experience,education,skill,city
手游客户端开发工程师-合作产品部（广州）400(职位编号：J184226),17500.0,0,本科,6,广州
系统运维工程师,8000.0,2,大专,8,深圳
自动化实施（shell/python）,12500.0,1,本科,5,上海
大数据开发测试工程师(职位编号：000698),17500.0,5,本科,1,深圳
数据分析师 - 运营中心(职位编号：J190074),27500.0,0,本科,7,广州
运维工程师,11500.0,2,大专,5,深圳
Python开发工程师,15000.0,2,本科,7,上海
大数据测试开发工程师(职位编号：000697),17500.0,3,本科,3,深圳
手游开发工程师-天下事业部930(职位编号：J184246),17500.0,2,本科,10,广州
渗透测试工程师,11500.0,2,大专,7,成都
python后端工程师,13500.0,3,本科,7,上海
中级Ruby开发工程师,13000.0,3,本科,3,深圳
推荐系统工程师 - 运营中心(职位编号：J190073),27500.0,0,本科,9,广州
运维工程师,12500.0,3,本科,1,深圳
资深Python工程师,27000.0,0,本科,6,北京
高级Ruby开发工程师,20500.0,3,本科,3,深圳
图像算法工程师 - 运营中心(职位编号：J190072),27500.0,0,本科,8,广州
运维工程师,7000.0,3,大专,2,上海
python工程师-,13500.0,2,大专,7,深圳
资深数据开发工程师（BX2）,23000.0,5,本科,7,上海
人工智能工程师 - 运营中心(职位编号：J190071),27500.0,0,本科,6,广州
电商分析师,11500.0,2,大专,6,深圳
Python开发工程师,12500.0,2,本科,9,广州
高级数据平台开发工程师,22500.0,3,本科,3,北京
数据挖掘工程师（推荐、估价方向） - 运营中心(职位编号：J190070),27500.0,0,本科,6,广州
量化策略分析师,14000.0,0,本科,10,深圳
Python高级开发工程师(职位编号：001),25000.0,3,本科,4,上海
数据平台测试工程师（高级）,22500.0,5,本科,8,北京
图书信息中心招聘高性能计算平台应用工程师一名,12500.0,0,本科,5,上海
数据挖掘工程师（用户画像方向） - 运营中心(职位编号：J190069),27500.0,0,本科,6,广州
Python高级研发工程师,10500.0,2,大专,5,成都
系统运维工程师/Linux运维,6500.0,2,大专,3,上海
运维工程师,15000.0,3,本科,5,深圳
自然语言工程师 - 运营中心(职位编号：J190068),27500.0,0,本科,8,广州
Python算法工程师,17500.0,2,本科,3,北京
Electronic Engineer,12000.0,0,本科,14,上海
爬虫工程师 - 运营中心(职位编号：J190067),27500.0,0,本科,8,广州
JAVA中高级开发工程师(产品),10000.0,2,本科,6,广州
高级python开发工程师(devops),18500.0,2,本科,5,上海
嵌入式软件测试工程师,12000.0,0,本科,8,上海
数据仓库工程师 - 运营中心(职位编号：J190065),27500.0,0,本科,4,广州
生物信息研究员（蛋白质工程方向）,17500.0,0,本科,7,北京
Python讲师,5250.0,0,本科,7,成都
Project Manager(004LSD),20000.0,0,本科,3,北京
BI后台开发工程师 - 运营中心(职位编号：J190066),27500.0,0,本科,1,广州
系统运维工程师,15000.0,0,本科,7,广州
Python开发工程师,9000.0,2,本科,6,上海
数据科学家,12000.0,0,本科,8,北京
大数据开发工程师 - 运营中心(职位编号：J190060),45000.0,0,本科,9,广州
前端开发工程师,20000.0,5,本科,4,北京
Python开发工程师,15000.0,0,本科,7,上海
Firmware Engineer,12500.0,0,博士,2,上海
语音识别/合成开发工程师-技术中心030(职位编号：J183644),45000.0,0,本科,7,广州
运维工程师,15000.0,2,大专,2,上海
Python工程师(职位编号：998),12500.0,2,本科,4,上海
JAVA 后端实习生,12000.0,0,硕士,7,北京
游戏服务端开发工程师 - 奇点事业部010(职位编号：J190107),17500.0,2,本科,6,广州
嵌入式软件工程师,11000.0,3,本科,7,深圳
python/java高级程序员,17500.0,0,本科,9,上海
YJ-linux运维工程师,18500.0,3,本科,10,深圳
端游服务端开发工程师-在线游戏事业部920(职位编号：J183646),17500.0,0,本科,5,广州
自动化测试工程师--智能连接部,10000.0,3,本科,5,成都
Python开发工程师,15000.0,3,本科,1,深圳
生物信息分析师(职位编号：B4),14583.0,0,本科,10,天津
G58游戏开发工程师 - 奇点事业部010(职位编号：J190352),17500.0,0,本科,9,广州
Firmware Development Manager,27500.0,8,本科,3,深圳
Python高级开发工程师,17500.0,3,本科,7,上海
Software Develop Engineer Intern （R56690）,12000.0,0,硕士,2,上海
资深手游开发工程师 - 奇点事业部010(职位编号：J190180),27500.0,0,本科,6,广州
python高级开发工程师（三年）,22500.0,3,大专,7,上海
软件开发、测试实习生,6000.0,0,本科,7,上海
后端开发实习生,12000.0,0,本科,7,上海
资深手游开发工程师 - 奇点事业部030(职位编号：J190181),27500.0,0,本科,9,广州
后端高级工程师（Python）,20000.0,5,本科,8,北京
Java开发工程师,16000.0,5,本科,2,北京
大数据分析工程师,17500.0,5,本科,2,北京
资深手游开发工程师 - 奇点事业部010(职位编号：J190182),27500.0,0,本科,6,广州
Python高级开发工程师,17500.0,5,本科,8,深圳
技术总监,25000.0,5,本科,2,北京
测试工程师_精密工程中心,7500.0,2,本科,13,枣庄
服务器高级开发工程师（MMO） - 海神事业部400(职位编号：J190364),27500.0,0,本科,4,广州
Python后台Web开发工程师,9500.0,0,本科,7,成都
高级测试工程师,15000.0,3,本科,4,广州
移动端测试工程师,12500.0,1,本科,8,上海
引擎开发工程师（阴阳师） - 海神事业部400(职位编号：J190365),27500.0,0,本科,3,广州
Python开发工程师,22500.0,5,本科,6,广州
Linux图形化软件工程师,17500.0,2,本科,6,北京
数据分析师(职位编号：LilithGames000708),18000.0,1,本科,11,上海
G66手游开发工程师(职位编号：J190390),12500.0,3,本科,9,广州
python高级开发工程师( 机器学习方向),22500.0,2,本科,7,上海
IC设计工程师,20000.0,3,本科,6,北京
算法工程师,40000.0,0,本科,8,上海
G72手游开发工程师(职位编号：J190393),12500.0,0,本科,7,广州
中级后端工程师(python/odoo）,17500.0,2,本科,9,上海
CModel 工程师,22500.0,0,本科,4,北京
软件测试工程师,12500.0,3,大专,8,深圳
G83客户端开发工程师(职位编号：J190396),17500.0,3,本科,7,广州
资深数字设计工程师（MCU）,25000.0,3,本科,3,上海
VR 图形开发工程师-海神事业部200(职位编号：J184232),27500.0,0,本科,7,上海
数据处理工程师,12500.0,3,本科,10,广州
资深服务器C++,32500.0,0,本科,8,上海
手游客户端开发工程师(职位编号：J190437),12500.0,0,本科,9,广州
爬虫工程师,17500.0,3,本科,8,上海
助理工程师（Python） - 机器人与智能设施实验室,6500.0,0,大专,1,上海
python 研发工程师,12500.0,0,本科,9,北京
Python开发工程师,29000.0,1,本科,7,上海
服务器C++开发,26000.0,0,本科,8,上海
服务器资深开发工程师(职位编号：J190433),17500.0,3,本科,6,广州
对日软件工程师,22500.0,0,本科,5,北京
IT主管,11500.0,5,本科,7,上海
Python开发工程师,12500.0,3,本科,5,广州
IT网络工程师,10500.0,2,本科,7,上海
G70客户端开发工程师(职位编号：J190408),12500.0,0,本科,7,广州
架构师,42500.0,1,本科,4,上海
Python开发工程师,9000.0,1,本科,3,上海
手游服务器开发工程师,30000.0,3,本科,8,上海
游戏运维工程师(职位编号：J190551),17500.0,0,本科,6,上海
IT系统运维工程师/数据共享交换平台,12500.0,0,本科,11,北京
python运维开发工程师,25000.0,0,本科,5,北京
U3D主程,40000.0,5,本科,3,上海
客户端开发工程师(职位编号：J190613),17500.0,3,本科,6,上海
AI工程师（深圳）,12000.0,0,本科,8,深圳
后端服务器技术总监 C++,55000.0,8,本科,9,上海
PYTHON#PHP# ERP软件工程师,12000.0,2,大专,8,广州
推荐算法工程师,22500.0,1,硕士,10,杭州
安全测试工程师,11500.0,0,本科,2,深圳
量化投资经理,12500.0,3,大专,9,深圳
Python 数据分析/人工智能讲师,21500.0,5,大专,5,北京
文本挖掘算法工程师,18500.0,2,硕士,11,深圳
人工智能 强化学习（项目）讲师,15000.0,2,大专,8,成都
C/C++/Python开发工程师（成都）-CSS,13000.0,3,本科,4,成都
高级前端,30000.0,0,本科,4,上海
测试工程师,9000.0,5,本科,5,深圳
爬虫Python工程师,9000.0,3,本科,7,广州
高级运维工程师,15000.0,5,本科,5,深圳
数据分析工程师,10000.0,3,本科,8,深圳
python后端开发工程师,11500.0,3,大专,4,北京
资深测试开发工程师(职位编号：J190676),27500.0,5,本科,8,上海
人工智能工程师,12500.0,2,本科,7,深圳
Python开发工程师,17500.0,3,本科,11,上海
腾讯前后端开发（岗位外包）,9000.0,1,本科,5,广州
资深测试开发工程师,29000.0,5,本科,10,上海
数据研发工程师(J11654),9000.0,0,本科,7,北京
"后台开发工程师（Node, Python, Java, Go）",12500.0,0,本科,2,深圳
手游开发工程师（服务端）,37500.0,3,本科,10,广州
微信支付自动化测试,8500.0,2,本科,5,深圳
前端web工程师,15416.0,0,本科,5,成都
Python开发工程师Web方向,9000.0,2,大专,3,成都
手游服务端开发工程师,35416.0,2,本科,10,广州
测试工程师,7000.0,2,大专,2,深圳
机械工程师（五险一金）,7000.0,1,大专,4,深圳
高级Python工程师(AI 方向),33333.0,5,硕士,3,上海
手游服务端开发工程师,29166.0,2,本科,6,广州
动画绑定师,8000.0,2,大专,7,广州
高级数据建模工程师,14583.0,0,本科,5,成都
服务端开发工程师,35416.0,3,本科,7,广州
Python开发工程师,9000.0,2,大专,3,广州
配置管理工程师,22500.0,0,本科,9,北京
PHP开发工程师,18500.0,3,本科,6,上海
手游服务端开发工程师,29166.0,2,本科,13,杭州
Python开发工程师,10000.0,3,本科,6,成都
运维主管,15000.0,5,大专,6,上海
通信导航监视岗,14583.0,0,本科,8,上海
手游客户端开发工程师,31250.0,2,本科,5,广州
数据产品研发中心-数据分析师岗,15000.0,3,本科,11,上海
python数据挖掘工程师,10000.0,3,本科,5,成都
BIS Test,15000.0,3,大专,2,广州
软件开发工程师,11500.0,0,本科,9,深圳
手游客户端开发工程师（cocos）,22916.0,2,本科,9,广州
Python开发工程师-R89,11500.0,2,本科,2,深圳
后台开发软件工程师,17500.0,3,本科,3,上海
客户端开发工程师（偏TA）,50000.0,3,本科,8,广州
测试工程师,12500.0,2,本科,13,深圳
